NAME,URL,DESCRIPTION,PURPOSE,LANGUAGE,PROS,MODEL,TYPE,SPECTRUM,UA,UA_URL,UA_REP,OWNER,OWNER-URL,OWNER-COUNTRY
Ahmia,https://ahmia.fi/,Web search engine which indexes .onion URLs from the Tor network.,General Puropose,English,own index,Free,Crawler,Darknet,UNDISCLOSED,https://ahmia.fi/documentation/indexing/,fully,Juha Nurmi,https://ahmia.fi/,Finland
All the Internet,https://www.alltheinternet.com/,Web search engine with a focus on users’ privacy.,General Puropose,English,privacy,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,"Advanced Search Technologies, Inc. ",https://www.advancedsearchcorp.com/,United States of America
AOL,https://search.aol.com/,Web search engine.,General Puropose,Multilingual,,Free,Meta Search Engine,Clearnet,Slurp,https://help.yahoo.com/kb/SLN22600.html,fully,"Apollo Global Management, Inc.",https://www.apollo.com/,United States of America
Ask,https://www.ask.com/,Web search engine.,General Puropose,Multilingual,,Free,Hybrid,Clearnet,Ask Jeeves/Teoma,n/a,n/a,"Ask Media Group, LLC",https://www.ask.com/,United States of America
Baidu,https://www.baidu.com/,Web search engine for China.,General Puropose,Chinese,own index,Free,Crawler,Clearnet,Baiduspider,https://www.baidu.com/search/robots_english.html,fully,"Baidu, Inc.",https://ir.baidu.com/,People's Republic of China
Baidu Scholar,https://xueshu.baidu.com/,Web search engine for scholarly and scientific literature.,Scientific,Chinese,own index,Free,Crawler,Clearnet,Baiduspider,https://www.baidu.com/search/robots_english.html,fully,"Baidu, Inc.",https://ir.baidu.com/,People's Republic of China
BASE,https://www.base-search.net/,Web search engine for scholarly and scientific literature.,Scientific,Multilingual,own index,Free,Hybrid,Clearnet,n/a,n/a,n/a,Universität Bielefeld Library,https://www.uni-bielefeld.de/,Germany
Bing,https://www.bing.com/,Web search engine.,General Puropose,Multilingual,own index,Free,Crawler,Clearnet,bingbot,https://www.bing.com/webmasters/help/which-crawlers-does-bing-use-8c184ec0,fully,Microsoft Corporation,https://www.microsoft.com/,United States of America
Brave,https://search.brave.com/,Web search engine with a focus on users’ privacy and anonymity.,General Puropose,Multilingual,"privacy, anonymity  ",Free,Hybrid,Clearnet,UNDISCLOSED,https://search.brave.com/help/brave-search-crawler,partly,"Brave Software, Inc.",https://brave.com/,United States of America
CC Search Portal,https://search.creativecommons.org/,Web search engine for content under a Creative Commons (CC) license or in public domain (PD).,General Puropose,English,own index,Free,Crawler,Clearnet,CCBot,https://commoncrawl.org/ccbot,fully,Creative Commons Corporation,https://creativecommons.org/,United States of America
CORE,https://core.ac.uk/,Web search engine for scholarly and scientific literature.,Scientific,English,own index,Free,Hybrid,Clearnet,n/a,n/a,fully,The Open University,https://www.open.ac.uk/,United Kingdom
Dogpile,https://www.dogpile.com/,Web search engine.,General Puropose,English,,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,System1,https://system1.com/,United States of America
DuckDuckGo,https://duckduckgo.com/,Web search engine with a focus on users’ privacy and anonymity.,General Puropose,Multilingual,"privacy, anonymity  ",Free,Hybrid,Clearnet,DuckDuckBot,https://duckduckgo.com/duckduckgo-help-pages/results/duckduckbot/,fully,"Duck Duck Go, Inc.",https://duckduckgo.com/,United States of America
Ecosia,https://www.ecosia.org/,Web search engine which uses ad revenue for planting trees.,General Puropose,Multilingual,revenue sharing ,Free,Meta Search Engine,Clearnet,Ecosia,n/a,n/a,Ecosia GmbH,https://www.ecosia.org/,Germany
Entireweb,https://www.entireweb.com/,Unfiltered web search engine.,General Puropose,Multilingual,unfiltered results,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Entireweb Sweden AB,https://www.entireweb.com/,Sweden
eTools,https://www.etools.ch/,Web search engine with a focus on users’ privacy.,General Puropose,Multilingual,privacy,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Comcepta AG,https://www.comcepta.com/,Switzerland
Gibiru,https://gibiru.com/,Unfiltered web search engine with a focus on users’ privacy.,General Puropose,Multilingual,"privacy, unfiltered results",Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Steven Ray Marshall,https://gibiru.com/,United States of America
Google,https://www.google.com/,Web search engine.,General Puropose,Multilingual,own index,Free,Crawler,Clearnet,Googlebot,https://developers.google.com/search/docs/crawling-indexing/overview-google-crawlers,fully,Alphabet Inc.,https://abc.xyz/,United States of America
Google Scholar,https://scholar.google.com/,Web search engine for scholarly and scientific literature.,Scientific,Multilingual,own index,Free,Crawler,Clearnet,Googlebot,https://developers.google.com/search/docs/crawling-indexing/overview-google-crawlers,fully,Alphabet Inc.,https://abc.xyz/,United States of America
Kagi,https://kagi.com/,Ad-free web search engine.,General Puropose,Multilingual,ad-free,Paid,Meta Search Engine,Clearnet,n/a,n/a,n/a,"Kagi, Inc.",https://kagi.com/,United States of America
Lilo,https://search.lilo.org/,Web search engine which lets users donate the advertising revenue.,General Puropose,Bilingual,revenue sharing  ,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,"Lilo, SAS",https://www.lilo.org/,France
Lycos,https://search.lycos.com/,Web search engine.,General Puropose,Multilingual,,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,"Lycos, Inc.",https://www.lycos.com/,United States of America
MetaGer,https://metager.de/,Web search engine based on open source technologies.,General Puropose,Multilingual,,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,SUMA-EV - Verein für freien Wissenszugang (e.V.),http://suma-ev.de/,Germany
Mojeek,https://www.mojeek.com/,General purpose web search engine with a focus on users’ privacy.,General Puropose,Multilingual,"own index, privacy",Free,Crawler,Clearnet,MojeekBot,https://www.mojeek.com/bot.html,fully,Mojeek Limited,https://www.mojeek.com/,England
MyAllSearch,https://www.myallsearch.com/,Web search engine with a focus on users’ privacy.,General Puropose,English,privacy,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,MyAllSearch,https://www.myallsearch.com/,United Kingdom
Naver,https://www.naver.com/,Web search engine for South Korea.,General Puropose,Korean,own index,Free,Crawler,Clearnet,Yeti,https://searchadvisor.naver.com/guide/seo-basic-firewall,fully,NAVER Corporation,https://www.naver.com/,South Korean
Openverse,https://openverse.org/,Web search engine for content under a Creative Commons (CC) license or in public domain (PD).,General Puropose,Multilingual,own index,Free,Crawler,Clearnet,CCBot,https://commoncrawl.org/ccbot,fully,"Automattic, Inc.",https://automattic.com/,United States of America
Oscobo,https://www.oscobo.com/,Web search engine with a focus on users’ privacy.,General Puropose,English,privacy,Free,Meta Search Engine,Clearnet,n/a,n/a,n/a,Oscobo,https://www.oscobo.com/,England
